GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fitss experiment,default,FitssMain,279,0,2,0,44,0,6,0,5,0
Fitss experiment,default,FitssMain.new ActionListener() {...},224,0,18,0,27,0,11,0,2,0
